Y01-AA-FOR-0098 Project Stock Record ,,,,,,,,,,,
,,,,,,,,,,,
PART NUMBER,DESCRIPTION,QUANTITY,BATCH/LOT/ DATE CODE,DELIVERY NUMBER,DATE RECEIVED,JOB/PROJECT REF.,LOCATION,COMMENTS,PURCHASE ORDER NUMBER,LINK TO DELIVERY NOTE ,
KLMRSC MD ,UNITRUNK 150MM TRAY COUPLER,15,N/A,174-310042,22/12/2015,A70,A70,,PO001360,U:\DOC086.pdf,
TS35/CF ,27 x 15 DEEP SLOT D RAIL,75,N/A,174-310042,22/12/2015,A70,A70,3M LENGTHS,PO001360,U:\DOC086.pdf,
SC203 ,SLOTTED CHANNEL,74,N/A,174-310042,22/12/2015,A70,A70,3M LENGTHS,PO001360,U:\DOC086.pdf,
TS35/F   ,TOP HAT D RAIL SHALLOW SLOT,13,N/A,174-309737,22/12/2015,A70,A70,2M LENGTHS,PO001353/52,U:\DOC087.pdf,
9501160000,RSF 3/35 TERMINAL,230,N/A,174-309737,22/12/2015,A70,A70,,PO001353/52,U:\DOC087.pdf,
0270460000,AP END SECTION PLATE,11,N/A,174-309737,22/12/2015,A70,A70,,PO001353/52,U:\DOC087.pdf,
1631930000,SCHT5S GROUP MARKER,11,N/A,174-309737,22/12/2015,A70,A70,,PO001353/52,U:\DOC087.pdf,
0485860000,HP 1 ADP2 FIXING PLATE,10,N/A,174-309737,22/12/2015,A70,A70,,PO001353/52,U:\DOC087.pdf,
0383560000,EW35 END BRACKET,46,N/A,174-309737,22/12/2015,A70,A70,,PO001353/52,U:\DOC087.pdf,
M6 x 20 ,PAN HEAD SCREWS,120,N/A,174-309737,22/12/2015,A70,A70,,PO001353/52,U:\DOC087.pdf,
M6 ,FLANGED NUTS,120,N/A,174-309737,22/12/2015,A70,A70,,PO001353/52,U:\DOC087.pdf,
776-0948,HAZARD SIGNS PACK OF 250,5,N/A,174-309737,22/12/2015,A70,A70,,PO001353/52,U:\DOC087.pdf,
PSF1B,PRIMA SOCKET,40,N/A,85711605,24/12/2015,A54,A54,,PO001315,U:\DOC089.pdf,
NSYGFR95M65,M6 FIXING KIT,29,2010/10,185931137,04/01/2016,A70,A70,  29 PACKS x  50 SETS,PO001368,U:\DOC091.pdf,
FX0021 101,RACK FRAME 4U,180,N/A,13309,05/01/2016,A70,A70,,PO001308,U:\DOC092.pdf,
BE2975 005,SUPPORT BRACKET,330,N/A,13309,05/01/2016,A70,A70,,PO001308,U:\DOC092.pdf,
10450033,37.5 x 50 TRUNKING,32M,N/A,581685/2,05/01/2016,A70,A70,,,U:\DOC093.pdf,
10450075,75 x 100  TRUNKING,14,N/A,581685/2,05/01/2016,A70,A70,75 x 100  TRUNKING    ( 4 x 2M ),,U:\DOC093.pdf,
 2701,LOCTITE THREADLOCKER  50ML,2,N/A,174-310159,05/01/2016,A54,A54,,PO001353,U:\DOC094.pdf,
SW4  150 ,COVER,8,N/A,174-307925,05/01/2016,A39,A39,8 x 1.5M LENGTHS,PO001334,U:\DOC095.pdf,
7203833,LED MAINS  STRIP LIGHT,23,N/A,1109465614,07/01/2016,A70,A70,,PO001378,U:\DOC096.pdf,
605605,ANTI- CONDENSATION HEATER,23,N/A,1109465614,07/01/2016,A70,A70,,PO001378,U:\DOC096.pdf,
IR 2.5/6.5 ,INSULATING RING,1000,N/A,174-310160,11/01/2016,A70,A70,,PO001369,U:\DOC097.pdf,
M5 x 16MM ,POZI PAN HEAD,750,N/A,174-310819,11/01/2016,A70,A70,,PO001379,U:\DOC098.pdf,
M5 ,SPRING WASHERS,750,N/A,174-310819,11/01/2016,A70,A70,,PO001379,U:\DOC098.pdf,
M5,PENNY WASHERS,750,N/A,174-310819,11/01/2016,A70,A70,,PO001379,U:\DOC098.pdf,
M10 ,BRASS RODS,12,N/A,174-310819,11/01/2016,A70,A70,,PO001379,U:\DOC098.pdf,
M10 ,BRASS NUTS,300,N/A,174-310819,11/01/2016,A70,A70,,PO001379,U:\DOC098.pdf,
M10 ,BRASS WASHERS,300,N/A,174-310819,11/01/2016,A70,A70,,PO001379,U:\DOC098.pdf,
